symbol,tf,strategy,profile,trades,win_rate,pf,sharpe,expectancy,net_return,pnl_usd,max_dd,oos_sharpe,p_loss,dsr,beats_hold,ret%,oos_keep,excess_vs_hold,mc_ret_p05,mc_dd_p05,P_loss%
BTCUSD,15m,ma_crossover,Scalping,5983,0.3435,0.7043,-2.4074,-0.000826,-0.99346,-496.73,-0.9935,-14.4252,1.0,0.0,False,-99.3,1.01,-1.714,-99.7,-99.7,100.0
BTCUSD,15m,ma_crossover,Intraday,2204,0.3775,0.8681,-0.9698,-0.000669,-0.799311,-399.66,-0.8359,-5.9482,0.999,0.0,False,-79.9,1.03,-1.5199,-91.5,-92.4,100.0
BTCUSD,15m,ma_crossover,Aggressive,2281,0.2626,0.8588,-0.9648,-0.000655,-0.803222,-401.61,-0.8506,-5.8356,0.9987,0.0,False,-80.3,1.0,-1.5238,-91.4,-92.2,100.0
BTCUSD,15m,ma_crossover,Intraday_Trailing,2204,0.3775,0.8681,-0.9698,-0.000669,-0.799311,-399.66,-0.8359,-5.9482,0.999,0.0,False,-79.9,1.03,-1.5199,-91.5,-92.4,100.0
BTCUSD,15m,ma_crossover,Scale_Out_2R,1964,0.3523,0.9034,-0.6839,-0.000512,-0.680852,-340.43,-0.7472,-4.2005,0.9827,0.0,False,-68.1,1.02,-1.4014,-86.7,-88.2,98.0
BTCUSD,15m,mean_reversion,Scalping,1876,0.3145,0.6234,-3.1354,-0.00123,-0.904097,-452.05,-0.908,-18.7731,1.0,0.0,False,-90.4,1.01,-1.6247,-93.7,-93.9,100.0
BTCUSD,15m,mean_reversion,Intraday,1394,0.3587,0.8079,-1.4012,-0.001069,-0.796443,-398.22,-0.8303,-8.4178,1.0,0.0,False,-79.6,1.02,-1.517,-90.1,-90.8,100.0
BTCUSD,15m,mean_reversion,Aggressive,1472,0.2371,0.7494,-1.7436,-0.001302,-0.867386,-433.69,-0.8889,-10.3655,1.0,0.0,False,-86.7,1.0,-1.5879,-93.7,-94.0,100.0
BTCUSD,15m,mean_reversion,Intraday_Trailing,1394,0.3587,0.8079,-1.4012,-0.001069,-0.796443,-398.22,-0.8303,-8.4178,1.0,0.0,False,-79.6,1.02,-1.517,-90.1,-90.8,100.0
BTCUSD,15m,mean_reversion,Scale_Out_2R,1345,0.3316,0.8236,-1.2449,-0.001027,-0.775929,-387.96,-0.8229,-7.4757,0.9997,0.0,False,-77.6,1.03,-1.4965,-89.6,-90.8,100.0
BTCUSD,15m,bb_rsi_reversion,Scalping,1631,0.3139,0.6038,-3.3558,-0.001302,-0.884118,-442.06,-0.8868,-19.7486,1.0,0.0,False,-88.4,1.0,-1.6047,-92.2,-92.3,100.0
BTCUSD,15m,bb_rsi_reversion,Intraday,1258,0.3561,0.7966,-1.4997,-0.00114,-0.782489,-391.24,-0.8157,-8.9875,0.9993,0.0,False,-78.2,1.02,-1.503,-89.4,-90.1,100.0
BTCUSD,15m,bb_rsi_reversion,Aggressive,1320,0.2583,0.8295,-1.1278,-0.00086,-0.708144,-354.07,-0.7703,-6.975,0.997,0.0,False,-70.8,1.04,-1.4287,-85.3,-86.5,100.0
BTCUSD,15m,bb_rsi_reversion,Intraday_Trailing,1258,0.3561,0.7966,-1.4997,-0.00114,-0.782489,-391.24,-0.8157,-8.9875,0.9993,0.0,False,-78.2,1.02,-1.503,-89.4,-90.1,100.0
BTCUSD,15m,bb_rsi_reversion,Scale_Out_2R,1214,0.3344,0.8284,-1.2142,-0.001,-0.732284,-366.14,-0.7872,-7.3813,0.9983,0.0,False,-73.2,1.02,-1.4528,-86.8,-87.9,100.0
BTCUSD,15m,vwap_cross,Scalping,2408,0.348,0.7371,-2.07,-0.000698,-0.820369,-410.18,-0.8263,-12.6781,1.0,0.0,False,-82.0,1.03,-1.5409,-88.5,-88.8,100.0
BTCUSD,15m,vwap_cross,Intraday,1450,0.3862,0.9393,-0.4212,-0.000281,-0.386312,-193.16,-0.4937,-2.7568,0.8953,0.0,False,-38.6,1.07,-1.1069,-68.0,-72.1,90.0
BTCUSD,15m,vwap_cross,Aggressive,1597,0.2711,0.9021,-0.6384,-0.000421,-0.532105,-266.05,-0.5802,-4.0703,0.9727,0.0,False,-53.2,1.08,-1.2527,-76.7,-79.1,97.0
BTCUSD,15m,vwap_cross,Intraday_Trailing,1450,0.3862,0.9393,-0.4212,-0.000281,-0.386312,-193.16,-0.4937,-2.7568,0.8953,0.0,False,-38.6,1.07,-1.1069,-68.0,-72.1,90.0
BTCUSD,15m,vwap_cross,Scale_Out_2R,1377,0.3595,0.9603,-0.2683,-0.000193,-0.298194,-149.1,-0.4573,-1.7982,0.8063,0.0001,False,-29.8,1.06,-1.0187,-65.3,-70.1,81.0
BTCUSD,15m,breakout,Scalping,2258,0.3175,0.6053,-3.4862,-0.001119,-0.922513,-461.26,-0.9229,-20.968,1.0,0.0,False,-92.3,1.02,-1.6431,-94.7,-94.8,100.0
BTCUSD,15m,breakout,Intraday,1489,0.3613,0.7743,-1.7301,-0.00109,-0.816819,-408.41,-0.8239,-10.2766,1.0,0.0,False,-81.7,1.01,-1.5374,-90.3,-90.9,100.0
BTCUSD,15m,breakout,Aggressive,1530,0.2529,0.7783,-1.6047,-0.000961,-0.785506,-392.75,-0.8078,-9.7001,1.0,0.0,False,-78.6,1.02,-1.5061,-88.0,-88.8,100.0
BTCUSD,15m,breakout,Intraday_Trailing,1489,0.3613,0.7743,-1.7301,-0.00109,-0.816819,-408.41,-0.8239,-10.2766,1.0,0.0,False,-81.7,1.01,-1.5374,-90.3,-90.9,100.0
BTCUSD,15m,breakout,Scale_Out_2R,1404,0.3383,0.8147,-1.3585,-0.000927,-0.749169,-374.58,-0.7799,-8.1893,1.0,0.0,False,-74.9,1.03,-1.4697,-87.2,-88.1,100.0
BTCUSD,15m,price_action,Scalping,2820,0.3397,0.6959,-2.4708,-0.000907,-0.926207,-463.1,-0.9261,-14.8211,1.0,0.0,False,-92.6,1.01,-1.6468,-95.5,-95.6,100.0
BTCUSD,15m,price_action,Intraday,1700,0.3682,0.8366,-1.213,-0.000885,-0.801901,-400.95,-0.8314,-7.4283,0.9997,0.0,False,-80.2,1.02,-1.5225,-91.0,-91.7,100.0
BTCUSD,15m,price_action,Aggressive,1772,0.2652,0.8352,-1.1347,-0.000804,-0.784935,-392.47,-0.8171,-6.9659,1.0,0.0,False,-78.5,1.04,-1.5055,-90.5,-91.3,100.0
BTCUSD,15m,price_action,Intraday_Trailing,1700,0.3682,0.8366,-1.213,-0.000885,-0.801901,-400.95,-0.8314,-7.4283,0.9997,0.0,False,-80.2,1.02,-1.5225,-91.0,-91.7,100.0
BTCUSD,15m,price_action,Scale_Out_2R,1579,0.342,0.844,-1.1366,-0.000885,-0.780974,-390.49,-0.8184,-6.9956,0.999,0.0,False,-78.1,1.04,-1.5015,-90.1,-91.0,100.0
BTCUSD,15m,smc,Scalping,3546,0.3319,0.6642,-2.7915,-0.000993,-0.972089,-486.04,-0.9732,-16.8822,1.0,0.0,False,-97.2,1.02,-1.6926,-98.4,-98.4,100.0
BTCUSD,15m,smc,Intraday,1927,0.3752,0.8502,-1.0974,-0.000805,-0.813903,-406.95,-0.8627,-6.8686,0.9993,0.0,False,-81.4,1.04,-1.5345,-91.8,-92.5,100.0
BTCUSD,15m,smc,Aggressive,1925,0.2717,0.8692,-0.8747,-0.000637,-0.741515,-370.76,-0.8277,-5.32,0.9977,0.0,False,-74.2,1.01,-1.4621,-88.7,-90.1,100.0
BTCUSD,15m,smc,Intraday_Trailing,1927,0.3752,0.8502,-1.0974,-0.000805,-0.813903,-406.95,-0.8627,-6.8686,0.9993,0.0,False,-81.4,1.04,-1.5345,-91.8,-92.5,100.0
BTCUSD,15m,smc,Scale_Out_2R,1754,0.3472,0.8578,-1.0191,-0.000805,-0.787591,-393.8,-0.8568,-6.3974,1.0,0.0,False,-78.8,1.06,-1.5081,-90.9,-91.9,100.0
BTCUSD,30m,ma_crossover,Scalping,2925,0.3368,0.7588,-1.921,-0.000932,-0.94005,-470.02,-0.9452,-11.442,1.0,0.0,False,-94.0,1.0,-1.6606,-96.9,-97.1,100.0
BTCUSD,30m,ma_crossover,Intraday,1079,0.3828,0.9156,-0.6152,-0.000609,-0.545935,-272.97,-0.6539,-3.6867,0.939,0.0,False,-54.6,1.05,-1.2665,-80.5,-83.2,94.0
BTCUSD,30m,ma_crossover,Aggressive,1144,0.2701,0.9219,-0.5215,-0.0005,-0.505021,-252.51,-0.6307,-3.205,0.9107,0.0,False,-50.5,1.07,-1.2256,-78.3,-81.6,91.0
BTCUSD,30m,ma_crossover,Intraday_Trailing,1079,0.3828,0.9156,-0.6152,-0.000609,-0.545935,-272.97,-0.6539,-3.6867,0.939,0.0,False,-54.6,1.05,-1.2665,-80.5,-83.2,94.0
BTCUSD,30m,ma_crossover,Scale_Out_2R,1004,0.3436,0.9095,-0.6488,-0.00068,-0.559847,-279.92,-0.6711,-3.9632,0.9403,0.0,False,-56.0,1.04,-1.2804,-81.4,-83.9,94.0
BTCUSD,30m,mean_reversion,Scalping,985,0.3289,0.7618,-1.8055,-0.001012,-0.64526,-322.63,-0.6812,-11.1274,1.0,0.0,False,-64.5,1.04,-1.3658,-77.5,-78.4,100.0
BTCUSD,30m,mean_reversion,Intraday,723,0.3804,0.9418,-0.4026,-0.000434,-0.342147,-171.07,-0.4498,-2.2964,0.8117,0.0001,False,-34.2,1.03,-1.0627,-68.3,-72.9,81.0
BTCUSD,30m,mean_reversion,Aggressive,765,0.2654,0.951,-0.3079,-0.000338,-0.310593,-155.3,-0.4531,-1.8874,0.787,0.0002,False,-31.1,1.17,-1.0311,-68.9,-74.1,79.0
BTCUSD,30m,mean_reversion,Intraday_Trailing,723,0.3804,0.9418,-0.4026,-0.000434,-0.342147,-171.07,-0.4498,-2.2964,0.8117,0.0001,False,-34.2,1.03,-1.0627,-68.3,-72.9,81.0
BTCUSD,30m,mean_reversion,Scale_Out_2R,695,0.3525,0.9693,-0.2054,-0.000241,-0.248999,-124.5,-0.4223,-1.2554,0.7207,0.0003,False,-24.9,1.24,-0.9696,-65.9,-72.4,72.0
BTCUSD,30m,bb_rsi_reversion,Scalping,845,0.3101,0.6675,-2.727,-0.001465,-0.719024,-359.51,-0.7439,-16.4583,1.0,0.0,False,-71.9,1.02,-1.4396,-81.0,-81.6,100.0
BTCUSD,30m,bb_rsi_reversion,Intraday,649,0.3636,0.9113,-0.6233,-0.000668,-0.409347,-204.67,-0.5986,-3.7285,0.8967,0.0,False,-40.9,0.97,-1.1299,-70.8,-74.7,90.0
BTCUSD,30m,bb_rsi_reversion,Aggressive,701,0.2553,0.9093,-0.5726,-0.000621,-0.415596,-207.8,-0.5767,-3.7369,0.8773,0.0,False,-41.6,1.06,-1.1361,-72.2,-75.6,88.0
BTCUSD,30m,bb_rsi_reversion,Intraday_Trailing,649,0.3636,0.9113,-0.6233,-0.000668,-0.409347,-204.67,-0.5986,-3.7285,0.8967,0.0,False,-40.9,0.97,-1.1299,-70.8,-74.7,90.0
BTCUSD,30m,bb_rsi_reversion,Scale_Out_2R,639,0.3365,0.926,-0.5052,-0.000583,-0.380067,-190.03,-0.6039,-3.1346,0.8377,0.0001,False,-38.0,1.08,-1.1006,-70.3,-74.5,84.0
BTCUSD,30m,vwap_cross,Scalping,1107,0.3613,0.8697,-0.9561,-0.000477,-0.430411,-215.21,-0.4875,-5.6884,0.9843,0.0,False,-43.0,1.01,-1.151,-63.2,-65.5,98.0
BTCUSD,30m,vwap_cross,Intraday,679,0.3918,0.9609,-0.2729,-0.000267,-0.231216,-115.61,-0.3891,-1.4212,0.7497,0.0002,False,-23.1,0.96,-0.9518,-59.3,-65.2,75.0
BTCUSD,30m,vwap_cross,Aggressive,722,0.2756,0.9531,-0.2999,-0.000293,-0.256719,-128.36,-0.456,-1.8839,0.7593,0.0002,False,-25.7,1.19,-0.9773,-62.2,-67.5,76.0
BTCUSD,30m,vwap_cross,Intraday_Trailing,679,0.3918,0.9609,-0.2729,-0.000267,-0.231216,-115.61,-0.3891,-1.4212,0.7497,0.0002,False,-23.1,0.96,-0.9518,-59.3,-65.2,75.0
BTCUSD,30m,vwap_cross,Scale_Out_2R,645,0.3597,0.9512,-0.3363,-0.000354,-0.271598,-135.8,-0.3845,-1.7884,0.7713,0.0002,False,-27.2,0.9,-0.9922,-62.2,-68.3,77.0
BTCUSD,30m,breakout,Scalping,1127,0.3194,0.6988,-2.5068,-0.001147,-0.733589,-366.79,-0.7408,-14.9289,1.0,0.0,False,-73.4,1.01,-1.4541,-82.2,-82.7,100.0
BTCUSD,30m,breakout,Intraday,760,0.3605,0.8083,-1.4639,-0.001306,-0.656547,-328.27,-0.6981,-8.6844,0.9963,0.0,False,-65.7,1.0,-1.3771,-81.7,-83.1,100.0
BTCUSD,30m,breakout,Aggressive,771,0.2633,0.8453,-1.0879,-0.00093,-0.545177,-272.59,-0.6119,-6.691,0.9797,0.0,False,-54.5,1.02,-1.2657,-75.4,-77.7,98.0
BTCUSD,30m,breakout,Intraday_Trailing,760,0.3605,0.8083,-1.4639,-0.001306,-0.656547,-328.27,-0.6981,-8.6844,0.9963,0.0,False,-65.7,1.0,-1.3771,-81.7,-83.1,100.0
BTCUSD,30m,breakout,Scale_Out_2R,722,0.331,0.8207,-1.3305,-0.001283,-0.635943,-317.97,-0.6787,-7.9072,0.9937,0.0,False,-63.6,1.01,-1.3565,-81.5,-82.9,99.0
BTCUSD,30m,price_action,Scalping,1408,0.3267,0.7533,-1.9307,-0.001018,-0.77319,-386.6,-0.7877,-11.9473,1.0,0.0,False,-77.3,1.04,-1.4937,-86.5,-87.0,100.0
BTCUSD,30m,price_action,Intraday,866,0.3695,0.8937,-0.7687,-0.000817,-0.563749,-281.87,-0.6681,-4.8955,0.9457,0.0,False,-56.4,1.09,-1.2843,-80.4,-83.2,95.0
