underlying,depth,steps,iv,moneyness_pct,full_ret,full_pf,full_sharpe,full_trades,oos_ret,oos_pf,oos_trades
NIFTY 50,ITM5,5,0.14,1.411,254.51,1.355,1.644,361,-3.26,0.988,107
NIFTY 50,ITM5,5,0.18,1.411,21.03,1.024,0.509,361,-89.21,0.732,107
NIFTY 50,ITM5,5,0.22,1.411,-187.91,0.809,-0.721,361,-166.81,0.564,107
NIFTY 50,ITM10,10,0.14,2.821,200.89,1.413,1.61,361,-10.0,0.946,107
NIFTY 50,ITM10,10,0.18,2.821,-3.52,0.995,0.276,361,-85.16,0.664,107
NIFTY 50,ITM10,10,0.22,2.821,-196.91,0.756,-1.383,361,-157.62,0.496,107
NIFTY 50,ITM15,15,0.14,4.232,142.64,1.469,1.515,361,-14.01,0.878,107
NIFTY 50,ITM15,15,0.18,4.232,-22.04,0.954,-0.014,361,-76.16,0.587,107
NIFTY 50,ITM15,15,0.22,4.232,-194.86,0.697,-1.228,361,-142.54,0.43,107
NIFTY 50,ITM20,20,0.14,5.643,90.77,1.511,1.36,361,-14.36,0.785,107
NIFTY 50,ITM20,20,0.18,5.643,-32.22,0.904,-0.334,361,-63.37,0.509,107
NIFTY 50,ITM20,20,0.22,5.643,-181.71,0.634,-0.671,361,-122.86,0.365,107
NIFTY BANK,ITM5,5,0.14,1.262,1554.41,1.874,1.476,332,182.55,1.264,102
NIFTY BANK,ITM5,5,0.18,1.262,937.27,1.44,1.032,332,-41.72,0.95,102
NIFTY BANK,ITM5,5,0.22,1.262,397.01,1.163,-0.874,332,-237.02,0.751,102
NIFTY BANK,ITM10,10,0.14,2.525,1441.91,2.157,1.567,332,169.88,1.348,102
NIFTY BANK,ITM10,10,0.18,2.525,874.7,1.524,1.08,332,-35.97,0.945,102
NIFTY BANK,ITM10,10,0.22,2.525,359.71,1.177,-0.997,332,-222.34,0.722,102
NIFTY BANK,ITM15,15,0.14,3.787,1267.73,2.547,1.641,332,142.56,1.44,102
NIFTY BANK,ITM15,15,0.18,3.787,790.6,1.629,1.138,332,-31.52,0.936,102
NIFTY BANK,ITM15,15,0.22,3.787,321.3,1.194,0.85,332,-202.91,0.69,102
NIFTY BANK,ITM20,20,0.14,5.05,1058.73,3.102,1.683,332,107.97,1.541,102
NIFTY BANK,ITM20,20,0.18,5.05,692.87,1.761,1.199,332,-27.47,0.924,102
NIFTY BANK,ITM20,20,0.22,5.05,284.34,1.217,0.832,332,-179.34,0.656,102
NIFTY FIN SERVICE,ITM5,5,0.14,1.362,611.82,1.685,1.604,351,23.37,1.062,109
NIFTY FIN SERVICE,ITM5,5,0.18,1.362,328.84,1.308,1.156,351,-85.95,0.811,109
NIFTY FIN SERVICE,ITM5,5,0.22,1.362,82.55,1.068,0.746,351,-179.01,0.653,109
NIFTY FIN SERVICE,ITM10,10,0.14,2.725,584.07,1.967,1.67,351,41.47,1.162,109
NIFTY FIN SERVICE,ITM10,10,0.18,2.725,325.61,1.4,1.2,351,-60.72,0.824,109
NIFTY FIN SERVICE,ITM10,10,0.22,2.725,89.99,1.091,0.747,351,-151.67,0.639,109
NIFTY FIN SERVICE,ITM15,15,0.14,4.087,520.91,2.373,1.713,351,44.52,1.279,109
NIFTY FIN SERVICE,ITM15,15,0.18,4.087,307.9,1.519,1.246,351,-41.19,0.836,109
NIFTY FIN SERVICE,ITM15,15,0.22,4.087,93.91,1.119,0.755,351,-125.39,0.623,109
NIFTY FIN SERVICE,ITM20,20,0.14,5.45,437.87,2.97,1.724,351,37.66,1.407,109
NIFTY FIN SERVICE,ITM20,20,0.18,5.45,279.45,1.675,1.293,351,-26.95,0.845,109
NIFTY FIN SERVICE,ITM20,20,0.22,5.45,94.88,1.157,0.772,351,-100.82,0.605,109
SENSEX,ITM5,5,0.14,0.837,709.81,1.253,1.206,358,95.32,1.089,107
SENSEX,ITM5,5,0.18,0.837,-94.47,0.971,-1.398,358,-202.12,0.838,107
SENSEX,ITM5,5,0.22,0.837,-803.2,0.778,0.73,358,-467.11,0.665,107
SENSEX,ITM10,10,0.14,1.673,665.89,1.291,1.22,358,94.1,1.107,107
SENSEX,ITM10,10,0.18,1.673,-109.35,0.961,0.329,358,-193.22,0.821,107
SENSEX,ITM10,10,0.22,1.673,-800.98,0.753,0.365,358,-453.11,0.637,107
SENSEX,ITM15,15,0.14,2.51,600.17,1.331,1.241,358,88.44,1.128,107
SENSEX,ITM15,15,0.18,2.51,-123.41,0.948,-1.452,358,-182.1,0.801,107
SENSEX,ITM15,15,0.22,2.51,-788.86,0.726,0.337,358,-434.34,0.608,107
SENSEX,ITM20,20,0.14,3.347,520.21,1.374,1.269,358,79.98,1.15,107
SENSEX,ITM20,20,0.18,3.347,-134.43,0.933,0.743,358,-168.67,0.78,107
SENSEX,ITM20,20,0.22,3.347,-766.08,0.696,-0.752,358,-410.94,0.577,107
