underlying,lens,exit_mode,threshold,trades,win_rate,ret_pct,profit_factor,sharpe,max_dd,is_ret,is_pf,oos_ret,oos_trades,oos_pf
NIFTY 50,delta1,one_red,1,553,39.6,70.34,1.298,1.352,11.69,62.44,1.365,7.15,161,1.111
NIFTY 50,delta1,two_red,2,366,38.8,68.92,1.33,1.664,9.76,67.61,1.468,-0.67,111,0.99
NIFTY 50,delta1,three_red,3,207,34.3,-1.71,0.989,0.126,24.17,12.63,1.113,-13.62,60,0.718
NIFTY 50,delta1,three_red_signal,3,207,34.3,-1.71,0.989,0.126,24.17,12.63,1.113,-13.62,60,0.718
NIFTY BANK,delta1,one_red,1,556,41.0,84.08,1.263,1.229,12.88,86.31,1.368,-3.26,166,0.962
NIFTY BANK,delta1,two_red,2,338,41.4,89.56,1.345,1.599,10.45,93.82,1.51,-5.59,107,0.927
NIFTY BANK,delta1,three_red,3,192,34.4,21.07,1.104,0.709,24.16,49.52,1.347,-27.24,63,0.557
NIFTY BANK,delta1,three_red_signal,3,192,34.4,21.07,1.104,0.709,24.16,49.52,1.347,-27.24,63,0.557
NIFTY FIN SERVICE,delta1,one_red,1,559,39.4,71.38,1.235,1.145,19.33,64.89,1.285,4.88,163,1.064
NIFTY FIN SERVICE,delta1,two_red,2,355,35.2,56.77,1.202,1.084,24.81,75.18,1.39,-19.99,112,0.777
NIFTY FIN SERVICE,delta1,three_red,3,198,35.4,3.32,1.016,0.32,27.79,24.44,1.162,-20.19,63,0.655
NIFTY FIN SERVICE,delta1,three_red_signal,3,198,35.4,3.32,1.016,0.32,27.79,24.44,1.162,-20.19,63,0.655
SENSEX,delta1,one_red,1,550,37.8,58.79,1.24,1.144,13.71,52.03,1.291,7.3,159,1.112
SENSEX,delta1,two_red,2,361,37.4,37.84,1.17,1.005,14.03,36.48,1.231,0.69,108,1.011
SENSEX,delta1,three_red,3,203,34.5,-4.27,0.973,0.049,30.14,10.75,1.098,-12.38,59,0.732
SENSEX,delta1,three_red_signal,3,203,34.5,-4.27,0.973,0.049,30.14,10.75,1.098,-12.38,59,0.732
NIFTY 50,options,one_red,1,553,30.0,45.01,1.037,0.547,52.67,120.09,1.161,-77.18,161,0.829
NIFTY 50,options,two_red,2,366,30.9,19.11,1.017,0.514,63.11,138.32,1.209,-124.97,111,0.721
NIFTY 50,options,three_red,3,207,24.6,-197.51,0.77,-0.619,158.23,-6.98,0.986,-183.75,60,0.468
NIFTY 50,options,three_red_signal,3,207,24.6,-197.51,0.77,-0.619,158.23,-6.98,0.986,-183.75,60,0.468
NIFTY BANK,options,one_red,1,556,35.1,703.25,1.217,1.071,64.65,858.93,1.43,-161.44,166,0.87
NIFTY BANK,options,two_red,2,338,32.8,882.68,1.327,0.98,85.9,1058.32,1.658,-177.62,107,0.839
NIFTY BANK,options,three_red,3,192,26.0,366.83,1.173,0.108,112.69,823.75,1.687,-423.08,63,0.547
NIFTY BANK,options,three_red_signal,3,192,26.0,366.83,1.173,0.108,112.69,823.75,1.687,-423.08,63,0.547
NIFTY FIN SERVICE,options,one_red,1,559,32.2,225.53,1.154,1.031,41.08,272.1,1.293,-51.65,163,0.905
NIFTY FIN SERVICE,options,two_red,2,355,30.7,292.03,1.214,1.085,41.41,445.46,1.577,-156.94,112,0.737
NIFTY FIN SERVICE,options,three_red,3,198,26.3,46.44,1.046,0.901,75.29,254.22,1.425,-198.93,63,0.513
NIFTY FIN SERVICE,options,three_red_signal,3,198,26.3,46.44,1.046,0.901,75.29,254.22,1.425,-198.93,63,0.513
SENSEX,options,one_red,1,550,30.7,133.39,1.033,-0.822,144.95,388.88,1.154,-245.89,159,0.836
SENSEX,options,two_red,2,361,29.9,-134.82,0.964,-1.825,113.76,133.54,1.059,-278.39,108,0.809
SENSEX,options,three_red,3,203,25.1,-627.1,0.774,-1.765,279.49,-45.11,0.973,-546.54,59,0.497
SENSEX,options,three_red_signal,3,203,25.1,-627.1,0.774,-1.765,279.49,-45.11,0.973,-546.54,59,0.497
