underlying,lens,trail_period,trail_mult,time_stop,breakeven_r,trades,win_rate,ret_pct,profit_factor,sharpe,max_dd,is_ret,is_pf,oos_ret,oos_trades,oos_pf
NIFTY 50,delta1,10,0.75,off,off,559,39.5,62.22,1.3,1.315,7.87,48.81,1.328,12.19,164,1.209
NIFTY 50,delta1,10,0.75,off,1.0,559,39.4,62.95,1.306,1.333,7.85,50.35,1.342,11.39,164,1.196
NIFTY 50,delta1,10,0.75,48,off,559,39.5,65.41,1.315,1.359,7.87,50.63,1.34,13.56,164,1.232
NIFTY 50,delta1,10,0.75,48,1.0,559,39.4,66.14,1.321,1.376,7.85,52.17,1.354,12.75,164,1.219
NIFTY 50,delta1,10,1.0,off,off,546,39.9,68.13,1.293,1.327,11.5,62.29,1.369,5.09,158,1.08
NIFTY 50,delta1,10,1.0,off,1.0,546,39.6,66.59,1.286,1.305,11.49,62.36,1.37,3.48,158,1.055
NIFTY 50,delta1,10,1.0,48,off,547,39.9,70.62,1.303,1.367,11.38,64.1,1.38,5.77,159,1.09
NIFTY 50,delta1,10,1.0,48,1.0,547,39.5,69.08,1.296,1.345,11.38,64.17,1.381,4.17,159,1.065
NIFTY 50,delta1,10,1.5,off,off,466,37.3,40.74,1.173,0.918,14.0,45.41,1.272,-5.54,138,0.919
NIFTY 50,delta1,10,1.5,off,1.0,468,36.8,44.46,1.192,0.993,13.07,47.37,1.287,-3.78,138,0.943
NIFTY 50,delta1,10,1.5,48,off,471,37.8,33.8,1.143,0.797,14.75,38.24,1.227,-5.31,138,0.922
NIFTY 50,delta1,10,1.5,48,1.0,473,37.0,37.15,1.159,0.865,13.8,39.83,1.239,-3.55,138,0.947
NIFTY 50,delta1,10,2.0,off,off,374,37.2,39.94,1.181,1.046,12.6,40.4,1.262,-2.44,113,0.964
NIFTY 50,delta1,10,2.0,off,1.0,375,37.1,40.17,1.182,1.048,12.61,40.47,1.263,-2.28,113,0.966
NIFTY 50,delta1,10,2.0,48,off,396,37.6,33.17,1.141,0.878,12.26,35.92,1.219,-4.74,120,0.934
NIFTY 50,delta1,10,2.0,48,1.0,398,37.4,31.23,1.132,0.824,12.49,33.82,1.204,-4.57,120,0.936
NIFTY 50,delta1,14,0.75,off,off,558,39.4,65.2,1.314,1.347,9.11,49.79,1.332,14.19,164,1.246
NIFTY 50,delta1,14,0.75,off,1.0,558,39.2,66.09,1.321,1.365,8.91,51.16,1.345,13.71,164,1.24
NIFTY 50,delta1,14,0.75,48,off,558,39.4,68.39,1.329,1.389,9.11,51.61,1.345,15.56,164,1.27
NIFTY 50,delta1,14,0.75,48,1.0,558,39.2,69.28,1.337,1.407,8.91,52.98,1.357,15.08,164,1.264
NIFTY 50,delta1,14,1.0,off,off,548,40.0,73.95,1.316,1.409,11.52,65.25,1.383,7.95,159,1.126
NIFTY 50,delta1,14,1.0,off,1.0,548,39.8,73.78,1.317,1.407,11.52,66.33,1.392,6.71,159,1.107
NIFTY 50,delta1,14,1.0,48,off,549,39.9,76.01,1.325,1.44,11.45,66.63,1.391,8.63,160,1.137
NIFTY 50,delta1,14,1.0,48,1.0,549,39.7,75.85,1.326,1.439,11.45,67.71,1.4,7.39,160,1.117
NIFTY 50,delta1,14,1.5,off,off,467,38.5,49.85,1.214,1.053,12.79,45.88,1.269,3.09,136,1.05
NIFTY 50,delta1,14,1.5,off,1.0,468,38.2,53.21,1.232,1.118,11.91,48.22,1.286,4.12,136,1.068
NIFTY 50,delta1,14,1.5,48,off,474,39.0,42.81,1.181,0.934,13.33,39.33,1.228,2.61,138,1.041
NIFTY 50,delta1,14,1.5,48,1.0,475,38.5,45.8,1.196,0.992,12.14,41.29,1.243,3.64,138,1.058
NIFTY 50,delta1,14,2.0,off,off,366,38.8,68.92,1.33,1.664,9.76,67.61,1.468,-0.67,111,0.99
NIFTY 50,delta1,14,2.0,off,1.0,367,38.7,68.58,1.328,1.652,9.79,67.27,1.464,-0.67,111,0.99
NIFTY 50,delta1,14,2.0,48,off,389,39.3,59.07,1.263,1.434,11.01,60.74,1.389,-3.66,118,0.947
NIFTY 50,delta1,14,2.0,48,1.0,391,39.1,56.56,1.249,1.361,11.17,58.23,1.367,-3.66,118,0.947
NIFTY 50,delta1,21,0.75,off,off,558,41.0,72.85,1.354,1.462,8.87,54.48,1.364,17.15,164,1.308
NIFTY 50,delta1,21,0.75,off,1.0,558,40.9,73.71,1.362,1.48,8.85,55.85,1.376,16.64,164,1.302
NIFTY 50,delta1,21,0.75,48,off,558,41.0,75.85,1.368,1.499,8.87,56.3,1.376,18.33,164,1.329
NIFTY 50,delta1,21,0.75,48,1.0,558,40.9,76.71,1.376,1.517,8.85,57.67,1.389,17.82,164,1.324
NIFTY 50,delta1,21,1.0,off,off,553,39.6,70.34,1.298,1.352,11.69,62.44,1.365,7.15,161,1.111
NIFTY 50,delta1,21,1.0,off,1.0,553,39.2,69.57,1.296,1.341,11.69,62.37,1.365,6.45,161,1.101
NIFTY 50,delta1,21,1.0,48,off,554,39.5,72.77,1.308,1.389,11.63,64.19,1.376,7.83,162,1.121
NIFTY 50,delta1,21,1.0,48,1.0,554,39.2,72.01,1.306,1.378,11.63,64.12,1.375,7.14,162,1.111
NIFTY 50,delta1,21,1.5,off,off,466,38.2,55.96,1.246,1.19,11.43,53.06,1.319,2.44,136,1.04
NIFTY 50,delta1,21,1.5,off,1.0,468,37.8,58.63,1.261,1.245,11.24,54.79,1.333,3.38,136,1.056
NIFTY 50,delta1,21,1.5,48,off,473,38.7,48.09,1.208,1.057,11.62,45.57,1.271,2.04,138,1.032
NIFTY 50,delta1,21,1.5,48,1.0,475,38.1,50.39,1.22,1.104,11.46,46.93,1.282,2.98,138,1.048
NIFTY 50,delta1,21,2.0,off,off,355,38.3,54.56,1.264,1.408,11.11,55.86,1.386,-0.57,106,0.991
NIFTY 50,delta1,21,2.0,off,1.0,355,38.3,55.47,1.27,1.427,11.11,56.29,1.39,-0.08,106,0.999
NIFTY 50,delta1,21,2.0,48,off,381,38.6,43.42,1.19,1.118,11.57,47.12,1.291,-2.98,113,0.955
NIFTY 50,delta1,21,2.0,48,1.0,381,38.6,44.34,1.195,1.137,11.24,47.55,1.294,-2.49,113,0.962
NIFTY BANK,delta1,10,0.75,off,off,558,39.6,59.3,1.204,1.039,11.12,58.37,1.274,-0.18,166,0.998
NIFTY BANK,delta1,10,0.75,off,1.0,558,38.9,58.75,1.203,1.031,11.31,57.63,1.272,0.01,166,1.0
NIFTY BANK,delta1,10,0.75,48,off,558,39.6,56.49,1.194,1.002,11.33,55.43,1.26,-0.04,166,1.0
NIFTY BANK,delta1,10,0.75,48,1.0,558,38.9,55.95,1.193,0.994,11.53,54.69,1.259,0.15,166,1.002
NIFTY BANK,delta1,10,1.0,off,off,547,40.0,74.92,1.236,1.11,16.3,80.76,1.347,-6.86,164,0.919
NIFTY BANK,delta1,10,1.0,off,1.0,547,39.7,76.63,1.243,1.132,16.23,82.57,1.357,-6.97,164,0.918
NIFTY BANK,delta1,10,1.0,48,off,547,40.0,72.48,1.229,1.081,16.72,78.45,1.337,-7.0,164,0.917
NIFTY BANK,delta1,10,1.0,48,1.0,547,39.7,74.18,1.235,1.102,16.65,80.25,1.347,-7.1,164,0.916
NIFTY BANK,delta1,10,1.5,off,off,455,39.1,71.71,1.247,1.2,11.9,76.64,1.364,-6.53,139,0.919
NIFTY BANK,delta1,10,1.5,off,1.0,455,38.5,73.67,1.26,1.234,11.81,78.42,1.383,-6.34,139,0.921
NIFTY BANK,delta1,10,1.5,48,off,460,38.9,70.22,1.241,1.18,10.98,76.35,1.361,-7.75,140,0.904
NIFTY BANK,delta1,10,1.5,48,1.0,460,38.3,72.19,1.253,1.215,10.98,78.14,1.381,-7.56,140,0.906
NIFTY BANK,delta1,10,2.0,off,off,351,39.9,69.52,1.251,1.238,13.92,78.78,1.403,-10.59,111,0.872
NIFTY BANK,delta1,10,2.0,off,1.0,354,39.5,63.19,1.223,1.137,13.99,74.27,1.371,-12.41,112,0.853
NIFTY BANK,delta1,10,2.0,48,off,372,40.3,63.62,1.223,1.206,14.0,72.79,1.363,-10.54,116,0.877
NIFTY BANK,delta1,10,2.0,48,1.0,375,40.0,57.78,1.198,1.102,14.06,68.78,1.337,-12.36,117,0.859
NIFTY BANK,delta1,14,0.75,off,off,558,39.2,58.82,1.203,1.031,11.11,58.49,1.275,-0.77,166,0.99
NIFTY BANK,delta1,14,0.75,off,1.0,558,38.5,58.27,1.202,1.023,11.31,57.75,1.274,-0.58,166,0.992
NIFTY BANK,delta1,14,0.75,48,off,558,39.2,56.01,1.193,0.994,11.32,55.55,1.261,-0.64,166,0.992
NIFTY BANK,delta1,14,0.75,48,1.0,558,38.5,55.47,1.192,0.986,11.53,54.81,1.26,-0.44,166,0.994
NIFTY BANK,delta1,14,1.0,off,off,550,41.3,87.33,1.279,1.259,15.83,85.88,1.374,0.41,163,1.005
NIFTY BANK,delta1,14,1.0,off,1.0,551,40.8,83.82,1.269,1.224,15.9,86.27,1.378,-3.47,164,0.958
NIFTY BANK,delta1,14,1.0,48,off,550,41.3,83.01,1.266,1.219,16.12,84.37,1.368,-2.39,163,0.971
NIFTY BANK,delta1,14,1.0,48,1.0,551,40.8,82.13,1.264,1.207,16.19,84.75,1.372,-3.65,164,0.956
NIFTY BANK,delta1,14,1.5,off,off,456,39.0,67.55,1.229,1.118,11.53,70.72,1.325,-4.78,137,0.939
NIFTY BANK,delta1,14,1.5,off,1.0,456,38.2,70.84,1.246,1.179,11.27,73.83,1.351,-4.59,137,0.942
NIFTY BANK,delta1,14,1.5,48,off,462,39.0,66.47,1.224,1.102,11.34,70.63,1.324,-5.79,139,0.928
NIFTY BANK,delta1,14,1.5,48,1.0,462,38.1,69.76,1.241,1.163,11.19,73.74,1.35,-5.61,139,0.93
NIFTY BANK,delta1,14,2.0,off,off,338,41.4,89.56,1.345,1.599,10.45,93.82,1.51,-5.59,107,0.927
NIFTY BANK,delta1,14,2.0,off,1.0,339,41.3,85.5,1.325,1.525,10.45,89.76,1.477,-5.59,107,0.927
NIFTY BANK,delta1,14,2.0,48,off,363,41.3,80.78,1.299,1.557,9.79,85.13,1.449,-5.71,114,0.93
NIFTY BANK,delta1,14,2.0,48,1.0,364,41.2,77.21,1.282,1.481,9.79,81.56,1.423,-5.71,114,0.93
NIFTY BANK,delta1,21,0.75,off,off,558,39.1,56.66,1.196,0.998,10.74,56.17,1.265,-0.62,166,0.992
NIFTY BANK,delta1,21,0.75,off,1.0,558,38.5,58.12,1.202,1.016,10.78,57.56,1.273,-0.55,166,0.993
NIFTY BANK,delta1,21,0.75,48,off,558,39.1,54.65,1.189,0.97,10.89,54.03,1.255,-0.48,166,0.994
NIFTY BANK,delta1,21,0.75,48,1.0,558,38.5,56.11,1.195,0.989,10.93,55.42,1.263,-0.41,166,0.995
NIFTY BANK,delta1,21,1.0,off,off,556,41.0,84.08,1.263,1.229,12.88,86.31,1.368,-3.26,166,0.962
NIFTY BANK,delta1,21,1.0,off,1.0,556,40.5,81.98,1.257,1.202,13.17,86.35,1.369,-5.39,166,0.937
NIFTY BANK,delta1,21,1.0,48,off,556,41.0,82.26,1.257,1.21,13.12,84.67,1.361,-3.43,166,0.96
NIFTY BANK,delta1,21,1.0,48,1.0,556,40.5,80.17,1.251,1.183,13.55,84.71,1.362,-5.57,166,0.935
NIFTY BANK,delta1,21,1.5,off,off,456,38.6,59.06,1.199,0.993,12.28,61.48,1.28,-4.03,138,0.949
NIFTY BANK,delta1,21,1.5,off,1.0,456,38.4,68.45,1.238,1.129,12.12,69.65,1.329,-2.81,138,0.964
NIFTY BANK,delta1,21,1.5,48,off,463,39.1,62.28,1.208,1.025,12.49,65.55,1.298,-4.9,140,0.939
NIFTY BANK,delta1,21,1.5,48,1.0,463,38.9,71.67,1.247,1.16,12.32,73.72,1.348,-3.68,140,0.953
NIFTY BANK,delta1,21,2.0,off,off,336,40.2,83.13,1.313,1.426,19.23,89.32,1.469,-7.7,107,0.899
NIFTY BANK,delta1,21,2.0,off,1.0,338,39.9,78.31,1.29,1.349,19.23,86.23,1.446,-9.43,108,0.879
NIFTY BANK,delta1,21,2.0,48,off,364,40.7,71.53,1.258,1.344,19.03,79.14,1.401,-9.15,114,0.887
NIFTY BANK,delta1,21,2.0,48,1.0,366,40.4,66.98,1.238,1.262,19.03,76.32,1.382,-10.88,115,0.868
NIFTY FIN SERVICE,delta1,10,0.75,off,off,562,40.0,71.76,1.261,1.264,13.25,58.64,1.284,11.98,164,1.175
NIFTY FIN SERVICE,delta1,10,0.75,off,1.0,562,40.0,72.14,1.263,1.269,13.25,58.81,1.285,12.19,164,1.179
NIFTY FIN SERVICE,delta1,10,0.75,48,off,562,40.0,73.36,1.267,1.281,13.23,59.82,1.289,11.61,164,1.17
NIFTY FIN SERVICE,delta1,10,0.75,48,1.0,562,40.0,73.73,1.268,1.286,13.23,59.99,1.29,11.82,164,1.173
NIFTY FIN SERVICE,delta1,10,1.0,off,off,546,39.0,68.97,1.23,1.119,18.5,58.47,1.26,9.54,157,1.128
NIFTY FIN SERVICE,delta1,10,1.0,off,1.0,546,39.0,69.96,1.234,1.131,18.5,58.99,1.263,10.01,157,1.135
NIFTY FIN SERVICE,delta1,10,1.0,48,off,547,39.1,67.45,1.225,1.094,18.86,56.54,1.251,9.17,157,1.123
NIFTY FIN SERVICE,delta1,10,1.0,48,1.0,547,39.1,68.44,1.229,1.106,18.86,57.06,1.254,9.64,157,1.13
NIFTY FIN SERVICE,delta1,10,1.5,off,off,454,38.8,87.52,1.313,1.394,14.41,82.37,1.406,3.58,133,1.047
NIFTY FIN SERVICE,delta1,10,1.5,off,1.0,454,38.3,90.39,1.335,1.453,14.36,83.97,1.431,4.85,133,1.064
NIFTY FIN SERVICE,delta1,10,1.5,48,off,460,38.7,90.14,1.321,1.433,14.17,85.65,1.42,2.12,134,1.027
NIFTY FIN SERVICE,delta1,10,1.5,48,1.0,460,38.3,92.08,1.339,1.482,14.11,86.32,1.441,3.39,134,1.044
NIFTY FIN SERVICE,delta1,10,2.0,off,off,367,35.4,48.12,1.171,0.966,24.09,63.65,1.329,-17.11,113,0.809
NIFTY FIN SERVICE,delta1,10,2.0,off,1.0,370,35.1,45.41,1.159,0.912,24.09,60.58,1.308,-16.74,113,0.812
NIFTY FIN SERVICE,delta1,10,2.0,48,off,387,36.4,46.0,1.158,0.946,24.85,60.58,1.301,-16.95,115,0.814
NIFTY FIN SERVICE,delta1,10,2.0,48,1.0,390,36.2,43.3,1.147,0.89,24.85,57.51,1.282,-16.59,115,0.817
NIFTY FIN SERVICE,delta1,14,0.75,off,off,562,40.9,72.25,1.266,1.28,13.2,60.7,1.298,10.54,164,1.156
NIFTY FIN SERVICE,delta1,14,0.75,off,1.0,562,40.9,72.63,1.268,1.285,13.2,60.87,1.299,10.75,164,1.159
NIFTY FIN SERVICE,delta1,14,0.75,48,off,562,40.9,73.72,1.272,1.296,13.19,61.87,1.304,10.06,164,1.149
NIFTY FIN SERVICE,delta1,14,0.75,48,1.0,562,40.9,74.09,1.273,1.301,13.19,62.04,1.305,10.26,164,1.152
NIFTY FIN SERVICE,delta1,14,1.0,off,off,553,38.7,60.91,1.199,1.002,18.78,54.96,1.241,4.99,162,1.065
NIFTY FIN SERVICE,delta1,14,1.0,off,1.0,553,38.7,61.88,1.203,1.014,18.78,55.49,1.244,5.43,162,1.071
NIFTY FIN SERVICE,delta1,14,1.0,48,off,554,38.6,58.98,1.193,0.973,19.15,52.8,1.231,4.44,162,1.058
NIFTY FIN SERVICE,delta1,14,1.0,48,1.0,554,38.6,59.95,1.197,0.985,19.15,53.33,1.234,4.88,162,1.064
NIFTY FIN SERVICE,delta1,14,1.5,off,off,452,38.5,82.23,1.293,1.321,15.24,76.85,1.374,3.81,133,1.05
NIFTY FIN SERVICE,delta1,14,1.5,off,1.0,453,38.0,83.97,1.308,1.362,15.17,77.57,1.391,4.83,134,1.064
NIFTY FIN SERVICE,delta1,14,1.5,48,off,459,38.6,84.63,1.299,1.359,14.98,79.91,1.387,2.35,134,1.03
NIFTY FIN SERVICE,delta1,14,1.5,48,1.0,460,38.0,85.44,1.31,1.391,14.92,79.7,1.399,3.38,135,1.044
NIFTY FIN SERVICE,delta1,14,2.0,off,off,355,35.2,56.77,1.202,1.084,24.81,75.18,1.39,-19.99,112,0.777
NIFTY FIN SERVICE,delta1,14,2.0,off,1.0,357,35.0,53.34,1.187,1.023,27.23,71.27,1.363,-19.51,112,0.781
NIFTY FIN SERVICE,delta1,14,2.0,48,off,377,36.3,54.4,1.187,1.076,25.55,70.16,1.349,-18.14,114,0.801
NIFTY FIN SERVICE,delta1,14,2.0,48,1.0,379,36.1,50.96,1.173,1.01,28.04,66.24,1.324,-17.66,114,0.806
NIFTY FIN SERVICE,delta1,21,0.75,off,off,562,40.7,78.93,1.292,1.352,13.27,66.45,1.328,11.47,164,1.171
NIFTY FIN SERVICE,delta1,21,0.75,off,1.0,562,40.7,79.16,1.293,1.355,13.27,66.47,1.328,11.68,164,1.174
NIFTY FIN SERVICE,delta1,21,0.75,48,off,562,40.7,80.4,1.298,1.367,13.26,67.63,1.333,10.98,164,1.163
NIFTY FIN SERVICE,delta1,21,0.75,48,1.0,562,40.7,80.62,1.299,1.37,13.26,67.65,1.334,11.19,164,1.167
NIFTY FIN SERVICE,delta1,21,1.0,off,off,559,39.4,71.38,1.235,1.145,19.33,64.89,1.285,4.88,163,1.064
NIFTY FIN SERVICE,delta1,21,1.0,off,1.0,559,39.4,72.34,1.239,1.156,19.33,65.42,1.288,5.31,163,1.07
NIFTY FIN SERVICE,delta1,21,1.0,48,off,559,39.4,71.23,1.235,1.136,19.71,64.52,1.284,4.33,163,1.057
NIFTY FIN SERVICE,delta1,21,1.0,48,1.0,559,39.4,72.2,1.239,1.148,19.71,65.05,1.287,4.76,163,1.063
NIFTY FIN SERVICE,delta1,21,1.5,off,off,447,37.8,91.44,1.323,1.439,15.09,86.3,1.417,3.57,132,1.047
NIFTY FIN SERVICE,delta1,21,1.5,off,1.0,449,37.0,92.34,1.336,1.472,15.03,87.01,1.435,3.76,133,1.05
NIFTY FIN SERVICE,delta1,21,1.5,48,off,457,38.1,90.64,1.317,1.437,14.83,87.25,1.418,1.02,134,1.013
NIFTY FIN SERVICE,delta1,21,1.5,48,1.0,459,37.3,92.58,1.333,1.479,14.77,87.03,1.431,3.18,135,1.041
NIFTY FIN SERVICE,delta1,21,2.0,off,off,351,35.0,52.6,1.185,1.005,28.78,67.14,1.338,-16.16,110,0.812
NIFTY FIN SERVICE,delta1,21,2.0,off,1.0,352,34.7,52.98,1.188,1.012,27.96,67.04,1.341,-15.68,110,0.817
NIFTY FIN SERVICE,delta1,21,2.0,48,off,376,35.9,45.87,1.155,0.925,29.64,59.14,1.284,-15.65,113,0.823
NIFTY FIN SERVICE,delta1,21,2.0,48,1.0,377,35.5,46.25,1.158,0.933,28.79,59.05,1.286,-15.17,113,0.827
SENSEX,delta1,10,0.75,off,off,557,37.9,61.78,1.277,1.245,10.29,48.23,1.295,13.6,161,1.232
SENSEX,delta1,10,0.75,off,1.0,557,37.5,60.2,1.271,1.223,10.09,47.87,1.294,12.39,161,1.212
SENSEX,delta1,10,0.75,48,off,557,37.9,64.43,1.289,1.278,10.29,50.45,1.308,14.03,161,1.24
SENSEX,delta1,10,0.75,48,1.0,557,37.5,62.85,1.283,1.256,10.09,50.09,1.308,12.82,161,1.219
SENSEX,delta1,10,1.0,off,off,542,37.1,56.66,1.231,1.127,13.34,47.53,1.262,9.72,156,1.153
SENSEX,delta1,10,1.0,off,1.0,543,36.5,58.22,1.239,1.147,13.42,47.98,1.267,10.84,157,1.171
SENSEX,delta1,10,1.0,48,off,543,37.0,58.59,1.238,1.156,13.34,49.03,1.271,10.16,157,1.159
SENSEX,delta1,10,1.0,48,1.0,544,36.4,60.16,1.247,1.175,13.41,49.48,1.276,11.28,158,1.178
SENSEX,delta1,10,1.5,off,off,464,37.7,26.37,1.109,0.664,16.88,39.02,1.229,-12.05,138,0.831
SENSEX,delta1,10,1.5,off,1.0,465,37.4,26.57,1.111,0.674,16.86,38.52,1.229,-11.35,138,0.839
SENSEX,delta1,10,1.5,48,off,470,38.1,27.31,1.111,0.68,16.4,39.21,1.228,-11.31,139,0.844
SENSEX,delta1,10,1.5,48,1.0,471,37.6,26.4,1.109,0.668,16.5,37.6,1.221,-10.61,139,0.852
SENSEX,delta1,10,2.0,off,off,368,36.7,27.72,1.121,0.769,14.98,28.54,1.177,-1.53,110,0.977
SENSEX,delta1,10,2.0,off,1.0,372,35.8,27.57,1.122,0.761,15.01,26.75,1.167,0.1,110,1.002
SENSEX,delta1,10,2.0,48,off,387,37.0,24.28,1.1,0.676,14.43,25.1,1.146,-1.53,115,0.978
SENSEX,delta1,10,2.0,48,1.0,392,36.0,20.78,1.086,0.591,14.78,19.96,1.115,0.11,115,1.002
SENSEX,delta1,14,0.75,off,off,555,38.0,55.22,1.246,1.141,10.43,43.24,1.263,12.03,160,1.202
