underlying,adx_min,atr_pct_min,full_trades,full_win_rate,full_ret_pct,full_pf,oos_trades,oos_win_rate,oos_ret_pct,oos_pf
NIFTY 50,off,off,361,40.4,122.5,1.35,107,45.8,22.9,1.16
NIFTY 50,off,30,275,37.8,70.8,1.24,91,42.9,5.0,1.04
NIFTY 50,off,50,217,39.6,86.1,1.37,76,44.7,24.0,1.21
NIFTY 50,off,70,155,41.9,77.3,1.48,52,48.1,23.7,1.3
NIFTY 50,15,off,346,40.5,120.2,1.36,105,45.7,18.9,1.14
NIFTY 50,15,30,267,38.6,78.5,1.27,88,44.3,8.5,1.06
NIFTY 50,15,50,212,40.1,88.2,1.39,74,45.9,26.7,1.24
NIFTY 50,15,70,154,42.2,75.3,1.47,52,48.1,23.7,1.3
NIFTY 50,20,off,254,42.1,80.3,1.31,77,49.4,8.0,1.08
NIFTY 50,20,30,207,40.1,50.6,1.23,68,50.0,6.7,1.07
NIFTY 50,20,50,176,40.9,61.1,1.33,61,50.8,18.3,1.22
NIFTY 50,20,70,128,43.0,59.3,1.46,43,51.2,15.0,1.25
NIFTY 50,25,off,149,41.6,44.8,1.29,45,53.3,26.2,1.44
NIFTY 50,25,30,126,42.1,52.5,1.39,41,58.5,34.7,1.69
NIFTY 50,25,50,108,45.4,67.6,1.6,38,57.9,37.3,1.81
NIFTY 50,25,70,81,44.4,49.1,1.59,28,57.1,28.6,1.79
NIFTY 50,30,off,77,41.6,40.4,1.5,25,60.0,26.3,1.93
NIFTY 50,30,30,70,41.4,40.2,1.54,23,60.9,25.2,1.92
NIFTY 50,30,50,62,41.9,37.8,1.55,21,57.1,18.7,1.68
NIFTY 50,30,70,51,39.2,21.7,1.35,17,58.8,15.3,1.68
NIFTY BANK,off,off,332,43.4,326.3,1.34,102,44.1,40.5,1.11
NIFTY BANK,off,30,256,41.4,122.4,1.14,84,39.3,-39.0,0.89
NIFTY BANK,off,50,212,41.5,167.1,1.24,71,39.4,11.9,1.04
NIFTY BANK,off,70,161,42.2,133.4,1.25,55,43.6,60.5,1.3
NIFTY BANK,15,off,317,42.0,282.9,1.3,97,44.3,42.2,1.12
NIFTY BANK,15,30,249,40.6,117.3,1.14,79,39.2,-32.6,0.91
NIFTY BANK,15,50,208,40.4,155.8,1.22,68,38.2,9.4,1.03
NIFTY BANK,15,70,157,41.4,115.0,1.22,53,43.4,41.2,1.21
NIFTY BANK,20,off,237,42.2,235.3,1.33,74,44.6,-14.6,0.95
NIFTY BANK,20,30,187,40.1,67.9,1.11,61,41.0,-62.0,0.77
NIFTY BANK,20,50,152,40.8,115.6,1.23,50,42.0,-16.3,0.92
NIFTY BANK,20,70,119,42.0,131.6,1.35,41,48.8,45.2,1.33
NIFTY BANK,25,off,145,40.7,72.2,1.15,44,52.3,-18.2,0.89
NIFTY BANK,25,30,121,39.7,18.0,1.04,38,44.7,-43.5,0.74
NIFTY BANK,25,50,103,38.8,34.4,1.1,30,43.3,-19.7,0.84
NIFTY BANK,25,70,82,40.2,87.3,1.32,23,52.2,21.9,1.29
NIFTY BANK,30,off,80,33.8,11.4,1.04,21,38.1,-31.3,0.69
NIFTY BANK,30,30,67,34.3,4.2,1.01,18,38.9,-27.7,0.7
NIFTY BANK,30,50,61,36.1,53.8,1.24,15,46.7,15.9,1.34
NIFTY BANK,30,70,53,35.8,65.4,1.32,12,50.0,20.1,1.57
NIFTY FIN SERVICE,off,off,351,37.0,101.6,1.21,109,33.0,-25.7,0.88
NIFTY FIN SERVICE,off,30,260,38.8,83.8,1.21,87,34.5,-28.8,0.85
NIFTY FIN SERVICE,off,50,215,41.4,92.8,1.29,70,38.6,0.2,1.0
NIFTY FIN SERVICE,off,70,153,41.2,64.0,1.27,57,38.6,-10.9,0.91
NIFTY FIN SERVICE,15,off,332,36.7,83.2,1.18,107,33.6,-28.5,0.86
NIFTY FIN SERVICE,15,30,252,38.9,75.9,1.2,86,34.9,-33.5,0.81
NIFTY FIN SERVICE,15,50,211,41.2,88.8,1.28,69,39.1,-2.4,0.98
NIFTY FIN SERVICE,15,70,150,39.3,46.4,1.2,56,37.5,-22.7,0.81
NIFTY FIN SERVICE,20,off,239,37.2,63.2,1.18,79,32.9,-31.0,0.81
NIFTY FIN SERVICE,20,30,193,37.8,47.2,1.15,68,32.4,-47.3,0.69
NIFTY FIN SERVICE,20,50,163,39.3,68.3,1.26,57,35.1,-24.3,0.8
NIFTY FIN SERVICE,20,70,121,39.7,42.7,1.22,46,34.8,-28.6,0.73
NIFTY FIN SERVICE,25,off,148,35.8,26.3,1.12,50,32.0,-26.7,0.72
NIFTY FIN SERVICE,25,30,127,37.0,29.1,1.14,44,29.5,-46.4,0.51
NIFTY FIN SERVICE,25,50,108,39.8,52.3,1.32,36,33.3,-28.1,0.61
NIFTY FIN SERVICE,25,70,79,39.2,48.7,1.4,28,35.7,-18.4,0.68
NIFTY FIN SERVICE,30,off,85,36.5,34.9,1.24,30,30.0,-25.5,0.59
