underlying,trail,lock,moneyness,moneyness_pct,trades,win_rate,ret_pct,net_pnl,profit_factor,sharpe,max_dd,expectancy,is_ret,is_trades,is_pf,oos_ret,oos_trades,oos_pf
NIFTY 50,fast,off,ITM2,-0.564,547,30.5,63.98,63977.64,1.05,0.62,53.25,116.96,127.69,386,1.159,-64.96,159,0.864
NIFTY 50,fast,off,ITM1,-0.282,547,30.3,63.36,63361.76,1.051,0.616,51.81,115.84,125.92,386,1.163,-63.73,159,0.861
NIFTY 50,fast,off,ATM,0.0,547,30.2,62.14,62139.5,1.053,0.611,50.39,113.6,123.63,386,1.167,-62.57,159,0.858
NIFTY 50,fast,off,OTM1,0.282,547,30.2,60.5,60498.87,1.053,0.604,48.96,110.6,121.04,386,1.171,-61.54,159,0.854
NIFTY 50,fast,off,OTM2,0.564,547,30.0,58.39,58394.26,1.054,0.596,48.27,106.75,118.03,386,1.174,-60.55,159,0.849
NIFTY 50,fast,lock@0.5R,ITM2,-0.564,547,30.5,63.98,63977.64,1.05,0.62,53.25,116.96,127.69,386,1.159,-64.96,159,0.864
NIFTY 50,fast,lock@0.5R,ITM1,-0.282,547,30.3,63.36,63361.76,1.051,0.616,51.81,115.84,125.92,386,1.163,-63.73,159,0.861
NIFTY 50,fast,lock@0.5R,ATM,0.0,547,30.2,62.14,62139.5,1.053,0.611,50.39,113.6,123.63,386,1.167,-62.57,159,0.858
NIFTY 50,fast,lock@0.5R,OTM1,0.282,547,30.2,60.5,60498.87,1.053,0.604,48.96,110.6,121.04,386,1.171,-61.54,159,0.854
NIFTY 50,fast,lock@0.5R,OTM2,0.564,547,30.0,58.39,58394.26,1.054,0.596,48.27,106.75,118.03,386,1.174,-60.55,159,0.849
NIFTY 50,fast,lock@1.0R,ITM2,-0.564,547,30.5,63.98,63977.64,1.05,0.62,53.25,116.96,127.69,386,1.159,-64.96,159,0.864
NIFTY 50,fast,lock@1.0R,ITM1,-0.282,547,30.3,63.36,63361.76,1.051,0.616,51.81,115.84,125.92,386,1.163,-63.73,159,0.861
NIFTY 50,fast,lock@1.0R,ATM,0.0,547,30.2,62.14,62139.5,1.053,0.611,50.39,113.6,123.63,386,1.167,-62.57,159,0.858
NIFTY 50,fast,lock@1.0R,OTM1,0.282,547,30.2,60.5,60498.87,1.053,0.604,48.96,110.6,121.04,386,1.171,-61.54,159,0.854
NIFTY 50,fast,lock@1.0R,OTM2,0.564,547,30.0,58.39,58394.26,1.054,0.596,48.27,106.75,118.03,386,1.174,-60.55,159,0.849
NIFTY 50,fast,lock@1.5R,ITM2,-0.564,547,30.5,63.98,63977.64,1.05,0.62,53.25,116.96,127.69,386,1.159,-64.96,159,0.864
NIFTY 50,fast,lock@1.5R,ITM1,-0.282,547,30.3,63.36,63361.76,1.051,0.616,51.81,115.84,125.92,386,1.163,-63.73,159,0.861
NIFTY 50,fast,lock@1.5R,ATM,0.0,547,30.2,62.14,62139.5,1.053,0.611,50.39,113.6,123.63,386,1.167,-62.57,159,0.858
NIFTY 50,fast,lock@1.5R,OTM1,0.282,547,30.2,60.5,60498.87,1.053,0.604,48.96,110.6,121.04,386,1.171,-61.54,159,0.854
NIFTY 50,fast,lock@1.5R,OTM2,0.564,547,30.0,58.39,58394.26,1.054,0.596,48.27,106.75,118.03,386,1.174,-60.55,159,0.849
NIFTY 50,mid,off,ITM2,-0.564,361,31.3,56.89,56889.8,1.049,0.73,56.02,157.59,138.61,254,1.195,-87.91,107,0.805
NIFTY 50,mid,off,ITM1,-0.282,361,31.3,52.23,52234.17,1.047,0.706,56.5,144.69,134.8,254,1.196,-88.41,107,0.796
NIFTY 50,mid,off,ATM,0.0,361,31.3,47.3,47303.65,1.044,0.679,57.02,131.04,130.62,254,1.198,-88.82,107,0.787
NIFTY 50,mid,off,OTM1,0.282,361,30.7,42.27,42272.61,1.041,0.651,57.57,117.1,126.28,254,1.199,-89.16,107,0.777
NIFTY 50,mid,off,OTM2,0.564,361,30.7,36.94,36943.33,1.037,0.619,58.18,102.34,121.55,254,1.2,-89.4,107,0.767
NIFTY 50,mid,lock@0.5R,ITM2,-0.564,361,31.3,56.89,56889.8,1.049,0.73,56.02,157.59,138.61,254,1.195,-87.91,107,0.805
NIFTY 50,mid,lock@0.5R,ITM1,-0.282,361,31.3,52.23,52234.17,1.047,0.706,56.5,144.69,134.8,254,1.196,-88.41,107,0.796
NIFTY 50,mid,lock@0.5R,ATM,0.0,361,31.3,47.3,47303.65,1.044,0.679,57.02,131.04,130.62,254,1.198,-88.82,107,0.787
NIFTY 50,mid,lock@0.5R,OTM1,0.282,361,30.7,42.27,42272.61,1.041,0.651,57.57,117.1,126.28,254,1.199,-89.16,107,0.777
NIFTY 50,mid,lock@0.5R,OTM2,0.564,361,30.7,36.94,36943.33,1.037,0.619,58.18,102.34,121.55,254,1.2,-89.4,107,0.767
NIFTY 50,mid,lock@1.0R,ITM2,-0.564,361,31.3,56.89,56889.8,1.049,0.73,56.02,157.59,138.61,254,1.195,-87.91,107,0.805
NIFTY 50,mid,lock@1.0R,ITM1,-0.282,361,31.3,52.23,52234.17,1.047,0.706,56.5,144.69,134.8,254,1.196,-88.41,107,0.796
NIFTY 50,mid,lock@1.0R,ATM,0.0,361,31.3,47.3,47303.65,1.044,0.679,57.02,131.04,130.62,254,1.198,-88.82,107,0.787
NIFTY 50,mid,lock@1.0R,OTM1,0.282,361,30.7,42.27,42272.61,1.041,0.651,57.57,117.1,126.28,254,1.199,-89.16,107,0.777
NIFTY 50,mid,lock@1.0R,OTM2,0.564,361,30.7,36.94,36943.33,1.037,0.619,58.18,102.34,121.55,254,1.2,-89.4,107,0.767
NIFTY 50,mid,lock@1.5R,ITM2,-0.564,361,31.3,56.89,56889.8,1.049,0.73,56.02,157.59,138.61,254,1.195,-87.91,107,0.805
NIFTY 50,mid,lock@1.5R,ITM1,-0.282,361,31.3,52.23,52234.17,1.047,0.706,56.5,144.69,134.8,254,1.196,-88.41,107,0.796
NIFTY 50,mid,lock@1.5R,ATM,0.0,361,31.3,47.3,47303.65,1.044,0.679,57.02,131.04,130.62,254,1.198,-88.82,107,0.787
NIFTY 50,mid,lock@1.5R,OTM1,0.282,361,30.7,42.27,42272.61,1.041,0.651,57.57,117.1,126.28,254,1.199,-89.16,107,0.777
NIFTY 50,mid,lock@1.5R,OTM2,0.564,361,30.7,36.94,36943.33,1.037,0.619,58.18,102.34,121.55,254,1.2,-89.4,107,0.767
NIFTY 50,slow,off,ITM2,-0.564,204,26.5,-185.13,-185130.12,0.795,-1.197,150.04,-907.5,-17.09,146,0.969,-173.38,58,0.512
NIFTY 50,slow,off,ITM1,-0.282,204,26.5,-181.57,-181566.68,0.791,-1.586,148.42,-890.03,-15.49,146,0.971,-171.21,58,0.5
NIFTY 50,slow,off,ATM,0.0,204,25.0,-177.89,-177891.88,0.788,-0.623,147.13,-872.02,-13.97,146,0.972,-168.85,58,0.489
NIFTY 50,slow,off,OTM1,0.282,204,25.0,-174.01,-174014.5,0.784,0.839,145.66,-853.01,-12.36,146,0.975,-166.34,58,0.477
NIFTY 50,slow,off,OTM2,0.564,204,25.0,-170.07,-170067.42,0.78,-0.044,144.13,-833.66,-10.91,146,0.977,-163.62,58,0.464
NIFTY 50,slow,lock@0.5R,ITM2,-0.564,204,26.5,-185.13,-185130.12,0.795,-1.197,150.04,-907.5,-17.09,146,0.969,-173.38,58,0.512
NIFTY 50,slow,lock@0.5R,ITM1,-0.282,204,26.5,-181.57,-181566.68,0.791,-1.586,148.42,-890.03,-15.49,146,0.971,-171.21,58,0.5
NIFTY 50,slow,lock@0.5R,ATM,0.0,204,25.0,-177.89,-177891.88,0.788,-0.623,147.13,-872.02,-13.97,146,0.972,-168.85,58,0.489
NIFTY 50,slow,lock@0.5R,OTM1,0.282,204,25.0,-174.01,-174014.5,0.784,0.839,145.66,-853.01,-12.36,146,0.975,-166.34,58,0.477
