strategy,symbol,timeframe,profile,trades,win_rate,profit_factor,expectancy,sharpe,max_dd_pct,net_return_pct,gross_profit,gross_loss,avg_win_pct,avg_loss_pct,hodl_return_pct
SuperTrend (Triple),INDIGO,15min,Intraday,89,51.6854,1.9807,0.4686,4.6768,5.249,49.9416,84224.8228,42522.7235,1.831,-0.9889,7.2569
ORB + VWAP,THANGAMAYL,5min,Intraday,95,47.3684,1.7053,0.427,3.768,8.91,47.6666,98085.3167,57517.9461,2.1797,-1.1504,46.6111
ORB + VWAP,ACUTAAS,5min,Aggressive,69,42.029,2.2258,0.5608,5.0443,4.5601,45.574,70266.3881,31569.4791,2.423,-0.7892,51.2271
Flow Navigator (Vol),THANGAMAYL,1h,Aggressive,15,46.6667,2.8445,2.7008,6.7918,19.9876,45.2953,62476.2035,21964.0275,8.9252,-2.7455,46.6111
SuperTrend (Triple),KAYNES,15min,Intraday,86,51.1628,1.6196,0.4443,3.4324,7.634,43.8455,99885.0637,61673.7867,2.2701,-1.4684,-6.669
SuperTrend (Triple),NETWEB,1h,Aggressive,26,38.4615,1.9841,1.4522,4.4613,12.4951,40.9298,76125.2766,38368.1157,7.6125,-2.398,65.5562
ORB + VWAP,THANGAMAYL,5min,Aggressive,87,35.6322,1.701,0.406,3.372,6.2301,40.0868,85708.787,50388.2958,2.7648,-0.8998,46.6111
SuperTrend (Triple),NETWEB,1h,Scalping,37,54.0541,2.3129,0.9304,6.1152,5.2944,39.4246,60644.5377,26219.6246,3.0322,-1.5423,65.5562
SuperTrend (Triple),INDIGO,15min,Aggressive,82,36.5854,1.7667,0.3821,3.5067,6.2248,35.0991,72199.7435,40867.9193,2.4067,-0.7859,7.2569
SuperTrend (Triple),KAYNES,1h,Aggressive,25,44.0,1.972,1.1558,4.7452,12.0349,30.9798,58622.1438,29726.91,5.3293,-2.1234,-6.669
Flow Navigator (Vol),ACUTAAS,1h,Aggressive,16,50.0,2.4428,1.7648,6.3265,5.9973,30.4364,47807.8632,19570.8751,5.976,-2.4464,51.2271
Adaptive Edge (Vol+IB),NETWEB,15min,Aggressive,103,32.0388,1.3074,0.2814,1.7343,12.2599,29.2289,123280.1547,94292.1951,3.7358,-1.347,65.5562
ORB + VWAP,DATAPATTNS,5min,Aggressive,84,33.3333,1.4911,0.3154,2.5396,11.0955,28.2342,80435.2844,53943.887,2.8727,-0.9633,63.7584
SuperTrend (Triple),DATAPATTNS,1h,Aggressive,22,40.9091,1.7212,1.2458,3.7439,16.5664,27.6649,65415.2704,38006.5953,7.2684,-2.9236,63.7584
SuperTrend (Triple),MCX,1h,Intraday,25,52.0,1.9564,1.0218,4.9254,5.9837,27.305,52255.2654,26709.7321,4.0196,-2.2258,23.8886
ATM Premium (Open),GVT&D,5min,Intraday,103,41.7476,1.3528,0.2511,2.1456,9.7723,27.2417,99167.4211,73302.8799,2.3062,-1.2217,19.2918
SuperTrend (Triple),KAYNES,1h,Scalping,41,51.2195,1.881,0.6011,4.648,4.8423,26.794,52620.5334,27974.8316,2.5057,-1.3987,-6.669
Flow Navigator (Vol),KAYNES,1h,Scalping,22,63.6364,2.9967,1.0559,8.4488,3.5404,25.4829,34862.3573,11633.4438,2.4902,-1.4542,-6.669
ORB + VWAP,MCX,5min,Aggressive,96,36.4583,1.5707,0.2413,2.9791,9.3275,25.057,63753.9469,40590.2483,1.8215,-0.6654,23.8886
SuperTrend (Triple),KAYNES,1h,Intraday,26,50.0,1.6665,0.9083,3.7683,14.5625,24.2556,59050.0711,35433.3919,4.5423,-2.7256,-6.669
Flow Navigator (Vol),NETWEB,1h,Scalping,21,57.1429,2.5404,1.0097,6.8331,3.1188,22.8233,34970.0358,13765.7889,2.9142,-1.5295,65.5562
ORB + VWAP,ACUTAAS,5min,Intraday,71,45.0704,1.5141,0.3009,2.9014,7.85,22.6244,62925.0803,41558.5159,1.9664,-1.0656,51.2271
Flow Navigator (Vol),PERSISTENT,1h,Intraday,10,60.0,3.8787,2.0953,9.2453,7.097,22.3543,28231.9211,7278.7299,4.7053,-1.8197,4.0324
ORB + VWAP,DATAPATTNS,5min,Intraday,81,44.4444,1.3805,0.2655,2.2924,8.7363,22.3091,78028.5734,56523.7328,2.1675,-1.2561,63.7584
Adaptive Edge (Vol+IB),MCX,15min,Aggressive,104,31.7308,1.307,0.2119,1.7474,11.7608,22.3071,93810.8091,71776.7139,2.8428,-1.0109,23.8886
Flow Navigator (Vol),THANGAMAYL,1h,Intraday,14,50.0,1.8504,1.5925,4.3737,23.4864,22.166,48514.825,26219.2623,6.9307,-3.7456,46.6111
ORB + VWAP,MCX,5min,Intraday,87,49.4253,1.5224,0.235,3.0392,5.5234,21.8737,59594.1671,39145.2954,1.3859,-0.8897,23.8886
Flow Navigator (Vol),DATAPATTNS,1h,Aggressive,19,36.8421,1.6963,1.1135,3.5433,8.5445,20.7881,51543.3668,30386.5203,7.3633,-2.5322,63.7584
SuperTrend (Triple),NETWEB,5min,Aggressive,215,30.2326,1.1778,0.0969,1.0232,9.8407,20.2454,137965.0232,117136.0115,2.1225,-0.7809,65.5562
SuperTrend (Triple),KAYNES,15min,Aggressive,82,36.5854,1.3372,0.2414,2.0014,8.3344,20.0859,78486.3774,58694.3274,2.6162,-1.1287,-6.669
SuperTrend (Triple),MCX,1h,Aggressive,26,34.6154,1.7208,0.7559,3.4843,8.8955,19.8956,46917.6093,27264.9058,5.2131,-1.6038,23.8886
ORB + VWAP,THANGAMAYL,5min,Scalping,126,42.0635,1.4174,0.1482,2.4,6.578,19.8028,63422.0199,44744.0039,1.1966,-0.6129,46.6111
SuperTrend (Triple),DATAPATTNS,1h,Scalping,35,48.5714,1.5438,0.5411,3.2399,16.7032,19.3719,53769.391,34830.3474,3.1629,-1.935,63.7584
SuperTrend (Triple),MCX,5min,Aggressive,211,31.7536,1.2239,0.088,1.334,9.3797,19.0296,101517.5118,82947.5509,1.5152,-0.576,23.8886
SuperTrend (Triple),GVT&D,1h,Scalping,39,46.1538,1.5499,0.4732,3.166,8.4776,18.9553,52019.2998,33562.8234,2.89,-1.5982,19.2918
SuperTrend (Triple),MUTHOOTFIN,15min,Aggressive,79,34.1772,1.3963,0.2326,2.208,12.9213,18.8584,64727.2625,46354.7377,2.3973,-0.8914,-24.3252
ORB + VWAP,ACUTAAS,5min,Scalping,94,47.8723,1.6178,0.1855,3.3843,3.3416,18.6132,45659.5939,28223.7197,1.0147,-0.576,51.2271
SuperTrend (Triple),INDIGO,5min,Aggressive,223,30.9417,1.2537,0.0803,1.4288,7.8288,18.5534,88456.4286,70555.1613,1.282,-0.4582,7.2569
ATM Premium (Open),GVT&D,5min,Scalping,117,39.3162,1.3908,0.148,2.3162,4.2713,18.1891,61630.7662,44313.8963,1.3398,-0.6241,19.2918
Flow Navigator (Vol),INDIGO,1h,Scalping,25,56.0,2.2153,0.684,5.8191,3.8392,18.0927,31171.6102,14070.9685,2.2265,-1.2792,7.2569
Flow Navigator (Vol),KAYNES,1h,Intraday,19,52.6316,1.6821,0.9167,3.8986,12.6261,17.4733,42951.4407,25534.6674,4.2951,-2.8372,-6.669
SuperTrend (Triple),GVT&D,1h,Intraday,23,43.4783,1.453,0.8086,2.6866,17.3212,17.432,59654.3613,41056.0991,5.9654,-3.1582,19.2918
Flow Navigator (Vol),ACUTAAS,1h,Scalping,19,57.8947,2.2795,0.8695,6.2231,4.0504,17.3653,29432.6628,12911.9362,2.6757,-1.614,51.2271
